Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2004-02-01,1144.9399,0.0122,7882.9265,10512.0968,25 ans,24 mois
2004-03-01,1126.21,-0.0164,7753.9704,10340.1302,25 ans,24 mois
2004-04-01,1107.3,-0.0168,7623.7754,10166.5116,25 ans,24 mois
2004-05-01,1120.6801,0.0121,7715.8969,10289.3582,25 ans,24 mois
2004-06-01,1140.84,0.018,7854.6982,10474.4534,25 ans,24 mois
2004-07-01,1101.72,-0.0343,7585.3565,10115.279,25 ans,24 mois
2004-08-01,1104.24,0.0023,7602.7068,10138.4162,25 ans,24 mois
2004-09-01,1114.58,0.0094,7673.8976,10233.351,25 ans,24 mois
2004-10-01,1130.2,0.014,7781.4415,10376.7637,25 ans,24 mois
2004-11-01,1173.8199,0.0386,8081.7658,10777.2543,25 ans,24 mois
2004-12-01,1211.92,0.0325,8344.0854,11127.0647,25 ans,24 mois
2005-01-01,1181.27,-0.0253,8133.0596,10845.656,25 ans,24 mois
2005-02-01,1203.6,0.0189,8286.8016,11050.6752,25 ans,24 mois
2005-03-01,1180.59,-0.0191,8128.3774,10839.4122,25 ans,24 mois
2005-04-01,1156.85,-0.0201,7964.9273,10621.447,25 ans,24 mois
2005-05-01,1191.5,0.03,8203.4932,10939.581,25 ans,24 mois
2005-06-01,1191.33,-0.0001,8202.3224,10938.0198,25 ans,24 mois
2005-07-01,1234.1801,0.036,8497.3459,11331.4417,25 ans,24 mois
2005-08-01,1220.33,-0.0112,8401.9878,11204.279,25 ans,24 mois
2005-09-01,1228.8101,0.0069,8460.3734,11282.1378,25 ans,24 mois
2005-10-01,1207.01,-0.0177,8310.2798,11081.9839,25 ans,24 mois
2005-11-01,1249.48,0.0352,8602.6861,11471.9157,25 ans,24 mois
2005-12-01,1248.29,-0.001,8594.4933,11460.9904,25 ans,24 mois
2006-01-01,1280.08,0.0255,8813.3673,11752.8648,25 ans,24 mois
2006-02-01,1280.66,0.0005,8817.3612,11758.1907,25 ans,24 mois
2006-03-01,1294.87,0.0111,8915.1969,11888.6574,25 ans,24 mois
2006-04-01,1310.61,0.0122,9023.567,12033.1718,25 ans,24 mois
2006-05-01,1270.09,-0.0309,8744.5861,11661.1432,25 ans,24 mois
2006-06-01,1270.2,0.0001,8745.3434,11662.153,25 ans,24 mois
2006-07-01,1276.66,0.0051,8789.8211,11721.4653,25 ans,24 mois
2006-08-01,1303.8199,0.0213,8976.8175,11970.83,25 ans,24 mois
2006-09-01,1335.85,0.0246,9197.3446,12264.909,25 ans,24 mois
2006-10-01,1377.9399,0.0315,9487.1346,12651.3518,25 ans,24 mois
2006-11-01,1400.63,0.0165,9643.356,12859.6773,25 ans,24 mois
